Protocol Type,syn_flag_number,syn_count,Srate,Weight,Min,Max,DHCP,psh_flag_number,HTTP,Predicted Attack Category
6.0,0.0,0.0,0.52642864,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,96.15481,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.0,0.0,0.69442385,38.5,80.0,111.4,0.0,1.0,0.0,Normal
6.0,0.14,1.56,11.244005,141.5,57.84,76.75,0.0,0.18,0.0,Normal
17.0,0.0,0.0,17934.287,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,8.345066,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,1.46,0.7149232,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
6.0,0.73,1.65,6.321457,141.5,54.72,56.25,0.0,0.0,0.0,Normal
17.0,0.0,0.0,15870.173,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.28,1.58,9.314513,141.5,63.3,74.7,0.0,0.2,0.0,Normal
17.0,0.0,0.0,22453.234,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,1.0,1.64,23.196405,141.5,56.28,56.7,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,74235.47,141.5,42.0,42.0,0.0,0.0,0.0,Normal
17.0,0.0,0.0,429096.97,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,93.160484,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,0.53,2.0,47.711926,141.5,55.44,56.28,0.0,0.0,0.0,DDoS-SYN
1.0,0.0,0.0,71697.51,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,1.0,1.0,0.0,141.5,54.0,54.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,17435.04,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
17.0,0.0,0.0,16255.79,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
6.0,0.0,0.0,31300.775,141.5,54.0,54.0,0.0,0.0,0.0,Normal
6.0,1.0,1.11,45.28714,141.5,54.0,54.44,0.0,0.0,0.0,DDoS-SYN
6.0,0.0,0.0,0.0,141.5,54.0,54.0,0.0,0.0,0.0,Normal
1.0,0.0,0.0,0.0,141.5,42.0,42.0,0.0,0.0,0.0,Normal
6.0,0.88,0.88,425.92468,141.5,54.0,262.0,0.0,0.0,0.0,DDoS-SYN
17.0,0.0,0.0,17404.87,141.5,50.0,50.0,0.0,0.0,0.0,DDoS-UDP
